character,character,url
teacher-woman,Teacher,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867581/covid19-badges/teacher-woman.svg
shopkeeper-woman,Shopkeeper,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867579/covid19-badges/shopkeeper-woman.svg
teacher-man,Teacher,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867580/covid19-badges/teacher-man.svg
shopkeeper-man,Shopkeeper,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867580/covid19-badges/shopkeeper-man.svg
sanitation-man,Sanitation Person,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867579/covid19-badges/sanitation-man.svg
sftEng-woman,Engineer,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867579/covid19-badges/sftEng-woman.svg
sanitation-woman,Sanitation Person,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867578/covid19-badges/saniation-woman.svg
sftEng-man,Engineer,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867578/covid19-badges/sftEng-man.svg
pharmacist-man,Pharmacist,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867576/covid19-badges/pharmacist-man.svg
pharmacist-woman,Pharmacist,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867576/covid19-badges/pharmacist-woman.svg
police-man,Police,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867576/covid19-badges/police-man.svg
politician-man,Politician,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867576/covid19-badges/politician-man.svg
politician-woman,Politician,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867576/covid19-badges/politician-woman.svg
police-woman,Police,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867576/covid19-badges/politician-woman.svg
nurse-woman,Nurse,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867574/covid19-badges/nurse-woman.svg
journalist-woman,Journalist,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867573/covid19-badges/journalist-woman.svg
nurse-man,Nurse,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867574/covid19-badges/nurse-man.svg
labTech-woman,Lab Technician,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867574/covid19-badges/labTech-woman.svg
journalist-man,Journalist,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867573/covid19-badges/journalist-man.svg
labTech-man,Lab Technician,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867573/covid19-badges/labTech-man.svg
farmer-man,Farmer,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867572/covid19-badges/farmer-man.svg
farmer-woman,Farmer,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867572/covid19-badges/farmer-woman.svg
delivery-woman,Delivery Person,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867571/covid19-badges/delivery-woman.svg
doctor-man,Doctor,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867571/covid19-badges/doctor-man.svg
doctor-woman,Doctor,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867571/covid19-badges/doctor-woman.svg
delivery-man,Delivery Person,https://res.cloudinary.com/sandeepsthapit/image/upload/v1591867571/covid19-badges/delivery-man.svg